,ID,stemming_words,CREATED_AT,LIKE COUNT,FOLLOWERS COUNT,RETWEET COUNT,POLITICS,CRIME,ENTERTAINMENT,SPORT,OTHER
1,35.0,පැරාලිම්පික් පදක්කම් ගත්තු දෙන්නට ජපනෙන් වාහන දෙකක් දුන්න ගනන් අඩුයි නෙහ් මෙහෙ කොහොම ලංකා ගේද්දි ටැක්ස් ගහයිද දන්නේ එහෙම උනොත් ක්රීඩා අමාත්යංශයෙන් දෙන සල්ලි ටිකෙන් බාගය වගේ යනව ටැක්ස් ගෙවන්න,9/7/2021 6:55,39,4175,4,0,1,0,1,1
3,36.0,පැරාලිම්පික් ක්රීඩා උළෙලේදී මව්බිම ජයග්රහණ ගෙනා ක්රීඩකයින්ට මුදල් ත්යාග ටෝකියෝ පැරාලිම්පික් උළෙලේදී පදක්කම් දිනූ ක්රීඩකයි දෙදෙනාට ඔවුන්ගේ පුහුණුකරු දෙදෙනාට මුදල් ත්යාග පිරිනැමී කැබිනට් මණ්ඩලයේ අනුමැති හිමිවී ඇත විස්තර,9/7/2021 6:43,19,117259,6,1,1,0,0,0
5,37.0,අද තරඟ මිනෝද් බානුක කඩුලු රකින පිතිකරු දිනේෂ චන්දිමාල් ක්රීඩා කිරීමට නියමිතයයි,9/7/2021 4:45,75,3126,1,0,0,1,1,0
7,38.0,ටෝකියෝ පැරාලිම්පික් ක්රීඩා උළෙලේදී රටට කීර්තිය ගෙන දුන් ක්රීඩකයන් කටුනායක ගුවන්තොටුප පරිශ්රය උණුසුම පිළිගැනීම,9/7/2021 3:33,0,57,0,0,1,0,0,0
9,39.0,එළඹෙන එක්දින ලෝක කුසලා ක්රිකට් තරඟ සදහා ක්රීඩා කරන පාකිස්තාන ක්රිකට් සංචිත අද ප්රකාශයට පත් කර තිබෙනව දෙනෙකු සමන්විත සංචිත නායකත්ව බාබර් අසාම්ට හිමිව ශදාබ් ඛාන් උප නායකයා කටයුතු කරනවා,9/6/2021 14:01,0,116,0,1,0,0,0,1
11,40.0,එදා නීති පැන වුණේ නිසයි අයට අපේ මිනිසුන් ශරීර ශක්තිය අභියෝගයක වුණා වගේම අයගේ සිගරැට් එක ප්රචාරය කරන්න දැඩි අවශ්යතා තිබුණා අපේ රටේ ඉතිහාසයේ පැවැති අංගම්පොර ක්රීඩා නොයෙක් සටන්ක්රමවලින් සුදු ජාතිකයන් පරාද කිරීමට හේතුව,9/6/2021 7:34,1,319,0,0,0,0,1,1
13,41.0,හෙට පැවැත්වෙන අවසන් එක්දින තරඟ සදහා භානුක රාජපක්ශ ක්රීඩා කිරීම අවිනිශ්චිත තත්වය,9/6/2021 7:31,2,214,0,0,0,1,1,0
15,42.0,ටෙස්ට් ක්රීඩා කරන කණ්ඩායම් පමණක සිටිය හැකි හැඟේ කෙවින් පීටර්සන්,9/5/2021 6:34,0,786,0,1,1,0,0,0
17,43.0,හොඳ ක්රීඩා කරන්න ක්රීඩා කරන්න අපි අවධානය යොමු මහන්සි වෙන්න ඕනේ,9/5/2021 5:56,17,22524,1,0,0,0,1,0
19,44.0,ඊට පස්සේ රෝදපුටුවට සමුදුන් රැල්ෆ් තමන්ගේ බිරිඳ වුන ජීන්ගේ උදව්ද ඇතුව ඇවිදීමටත් ගෝල්ෆ් මෙන්ම බාස්කට් බෝල් ක්රීඩා කිරීමට පුහුණු වුනාඒ වගේම රැල්ෆ් විශ්වවිද්යාල උපාධියක්ද ලබාගත්තා,9/5/2021 4:51,2,316,0,1,0,0,1,1
21,45.0,දිනේෂ්ට කෝටි යි සමිතට කෝටි යි ක්රිකට් ක්රීඩා කිරීමෙන් පමණක ශ්රී ලංකාවේ සාර්ථකත්වය පත් විය හැකි මතය බිඳ හෙලී ක්රීඩා අමාත්යංශය ගෙන පියවර ප්රශංසනීය,9/4/2021 22:19,2,509,0,0,0,1,0,0
23,46.0,හම්බන්තොට දිස්ත්රික්කයේ වයස අවුරුදු ත් ත් තරුණ ප්රජාව එන්නත්කරණය කිරීම දින ආරම්භ වූ තරුණ ක්රීඩා අමාත්ය නාමල් රාජපක්ෂ මහතා පැවසීය අතිගරු ජනාධිපතිතුමාගේ අග්රාමාත්යතුමන්ගේ උපදෙස සෞඛ්ය අමාත්යතුමා මගපෙන්වීම,9/4/2021 15:48,0,116,0,0,1,0,1,1
25,47.0,ක්රීඩා පිටියේ ආවරණ යළි ඉවත් කෙරෙයි,9/4/2021 9:02,2,652,0,1,1,0,0,1
