,ID,FULL TEXT,CREATED AT,LIKE COUNT,FOLLOWERS COUNT,RETWEET COUNT,POLITICS,CRIME,ENTERTAINMENT,SPORT,OTHER
35,1.43513E+18,පැරාලිම්පික් පදක්කම් ගත්තු දෙන්නට ජපනෙන් වාහන දෙකක් දුන්න. ගනන් ඉතින් අඩුයි නෙහ් මෙහෙ කොහොමත්.. ලංකාවට ගේද්දි ටැක්ස් ගහයිද දන්නේ.. එහෙම උනොත් ක්‍රීඩා අමාත්‍යංශයෙන් දෙන සල්ලි ටිකෙන් බාගයක් වගේ යනව ටැක්ස් ගෙවන්න 🤷🏽‍♂️🤦🏽‍♂️,9/7/2021 6:55,39,4175,4,0,1,0,1,1
,,,,,,,,,,,
36,1.43513E+18,"පැරාලිම්පික් ක්‍රීඩා උළෙලේදී මව්බිමට ජයග්‍රහණ ගෙනා ක්‍රීඩකයින්ට මුදල් ත්‍යාග

2020 ටෝකියෝ පැරාලිම්පික් උළෙලේදී පදක්කම් දිනූ ක්‍රීඩකයින් දෙදෙනාට සහ ඔවුන්ගේ පුහුණුකරුවන් දෙදෙනාට මුදල් ත්‍යාග පිරිනැමීමට කැබිනට් මණ්ඩලයේ අනුමැතිය හිමිවී ඇත.
#lka

වැඩි විස්තර:- https://t.co/h42NUSJ3ce https://t.co/q9LPJKCiNs",9/7/2021 6:43,19,117259,6,1,1,0,0,0
,,,,,,,,,,,
37,1.4351E+18,"අද තරගයට මිනෝද් බානුක වෙනුවට කඩුලු රකින පිතිකරු දිනේෂ් චන්දිමාල් ක්‍රීඩා කිරීමට නියමිතයයි..

#SLvsSA 🇱🇰 v 🇿🇦 #3rdODI #ST_18 https://t.co/VxMtW3GPDh",9/7/2021 4:45,75,3126,1,0,0,1,1,0
,,,,,,,,,,,
38,1.43508E+18,"ටෝකියෝ පැරාලිම්පික් ක්‍රීඩා උළෙලේදී රටට කීර්තිය ගෙන දුන් ක්‍රීඩකයන්ට කටුනායක ගුවන්තොටුපල පරිශ්‍රය උණුසුම් පිළිගැනීමක් - https://t.co/LCLGbaPvuJ 
#corona_update_sri_lanka #lka #sinhala_news #coronavirus #covid19 #covid_19_sri_lanka Follow Us #lknewsroom https://t.co/OKq4CMw0Jk",9/7/2021 3:33,0,57,0,0,1,0,0,0
,,,,,,,,,,,
39,1.43488E+18,"එළඹෙන එක්දින ලෝක කුසලාන ක්‍රිකට් තරඟාවලිය සදහා ක්‍රීඩා කරන පාකිස්තාන ක්‍රිකට් සංචිතය අද ප්‍රකාශයට පත් කර තිබෙනවා.

18 දෙනෙකුගෙන් සමන්විත මෙම සංචිතයේ නායකත්වය බාබර් අසාම්ට හිමිව ඇති අතර ශදාබ් ඛාන් උප නායකයා ලෙස කටයුතු කරනවා.  #Cricket #ICC

https://t.co/vNadcHaFhE https://t.co/IaV3rFBLKn",9/6/2021 14:01,0,116,0,1,0,0,0,1
,,,,,,,,,,,
