ID,User,CREATED_AT,LABEL,stemming_words
2,1.41E+18,7/11/2021 9:59,Crime,අන්තර්ජාල ඔස්සේ අළෙවි වූ බාලවයස්කාර දැරිය අපයෝජන කිරීමේ සිද්ධිය සම්බන්ධ පොලිස් ක්රීඩා කොට්ඨාසයේ උප පොලිස් පරීක්ෂකවරයකු රජයේ ප්රධාන පෙළේ බැංකුවක හිටපු කළමණාකාරවරයකු ළමා කාන්තා කාර්යාංශ අද අත්අඩංගුව ගනු ලැබ තිබේ
4,1.41E+18,7/11/2021 9:14,Sport,ක්රීඩා අමාත්යාංශයෙන් බොක්සිං මිලියන
6,1.41E+18,7/11/2021 9:13,Sport,මේසපන්දුව දියුණු කරන්නට ක්රීඩා අමාත්යංශය ගිවිසුම්ගත වෙයි
8,1.41E+18,7/11/2021 6:39,Sport,පී සරවනමුත්තු කුසලා අන්තර්සමාජ පළමු ඛාණ්ඩ ශූරයන් වූ සිංහල ක්රීඩා සමාජ පිල ශ්රී ලංකව විවිධ අවධි වල නියෝජන කල ක්රීඩකයන් රැසක් සිටින එවක ශ්රී ලංකා නායක අර්ජුන රණතුංග සාමාන් ක්රීඩකයෙක් වසරේදී ක්රීඩා සමාජයට ක්රීඩා කර ඇත
10,1.41E+18,7/11/2021 6:11,Politics,ක්රීඩා ඇමැතිතුමා තවම හරි අය හරි තැන්වල දාගෙන සුනිල ගුණවර්ධන
12,1.41E+18,7/11/2021 4:02,Entertainment,වේලු ක්රීඩකයෙකු චරිතය නිරූපණ කරන අහිංසක ගමේ ගැහැනු ළමයෙකු බේරා ගැනීමේ ඔහුගේ උත්සා
14,1.41E+18,7/10/2021 20:50,Sport,කෙසේ වෙතත් ඔවුන් වාර්ථාගත තරග කාණ්ඩ යටතේ ක්රීඩා ස්ථාන කදී පැවැත් වීමට සියලුම කටයුතු සූදානම් කර ඇත
16,1.41E+18,7/10/2021 16:24,Other,ඒක කරන්නේ නාමල් ඊලග කැම්පේන් එකට නාමල්ව තමයි ප්රොමෝට් කරන්නේ නැත්නම් ක්රීඩා ඇමති
18,1.41E+18,7/10/2021 16:11,Sport,ක්රීඩා ඇමති පාර්ලිමේන්තුවේදී කිව්ව ක්රීඩකයන් යොදා ගත්ත සිම්බාබ්වේ වලට
20,1.41E+18,7/10/2021 10:04,Sport,ඉන්දියාව ක්රිකට් තරඟ ක්රීඩා කිරීමට සිටි ශ්රී ලංකා ජෛව තාක්ෂණික බුබුලේ සිටි සඳුන් වීරක්කොඩි හට කොරෝනා ආසාදන වී තිබෙනව ඔහු සඳහන් කලේ වනවිට ඔහු කණ්ඩායමෙ වෙන්ව තැබීමට බලධාරී ක්රියාකර බව
22,1.41E+18,7/10/2021 7:32,Sport,ඉන්දියාව ක්රිකට් තරඟ ක්රීඩා කිරීමට සිටි ශ්රී ලංකා සංචිත ක්රීඩකයෙකු කොරෝනා
24,1.42E+18,7/14/2021 11:14,Politics,කබඩි ක්රීඩාවේ අභිවෘද්ධිය ක්රීඩා අමාත්යංශය සිය ඉහළ කාර්ය සාධන ගිවිසුම අමාත්ය මහතාගේ ප්රධානත්වය ශ්රී ලංකා කබඩි සම්මේලන සමගි අද දින ක්රීඩා සංවර්ධන දෙපාර්තමේන්තුවේ ගෘහස්ත ක්රීඩාගාරයේ අත්සන තැබුනා ජයගම
26,1.42E+18,7/14/2021 10:45,Sport,ජාත්යන්තර කබඩි තරඟාවලි පවත්වන මධ්යස්ථානයක් ශ්රී ලංකා පත් කරනවා ක්රීඩා ඇමති
28,1.42E+18,7/14/2021 8:42,Sport,ක්රීඩා සංගමයක සම්මේලන ලියාපදිංචිය තාවකාලික අත්හිටුවයි
30,1.42E+18,7/14/2021 7:31,Sport,ක්රීඩා සංගම් සම්මේලන ලියාපදිංචිය අත්හිටුවයි
32,1.42E+18,7/14/2021 7:28,Sport,ක්රීඩා සංගම් සම්මේලන ලියාපදිංචිය අත්හිටුවයි
34,1.42E+18,7/14/2021 7:27,Sport,ක්රීඩා සංගමයක සම්මේලන ලියාපදිංචිය තාවකාලික අත්හිටුවීම ක්රීඩා අමාත්ය වරයා ගැසට් නිවේදනයක් නිකුත් කර ඇත
36,1.42E+18,7/14/2021 7:23,Sport,ක්රීඩා සංගම් සම්මේලන ලියාපදිංචිය තාවකාලික අත්හිටුවයි
38,1.42E+18,7/14/2021 7:11,Sport,ක්රීඩා සංගමයක සම්මේලන ලියාපදිංචිය අත්හිටුවමින් අතිවිශේෂ ගැසට් නිවේදනයක්
40,1.42E+18,7/14/2021 7:04,Politics,ජනාධිපති ගෝඨාභය රාජපක්ෂ මහතා අද ශ්රී ලංකා ක්රිකට් ප්රධානීන් හමුවී නියමිතය සාකච්ඡාවට ක්රිකට් කමිටුවේ සහභාගිත්ව ලැබෙන ක්රීඩා අමාත්ය නාමල් රාජපක්ෂ මහතා පැවසීය පාසල් මට්ටමේ ජාතික මට්ටම ක්රිකට් ක්රීඩාව දියුණු කිරීම
42,1.42E+18,7/14/2021 6:40,Politics,ක්රීඩා සංගම් සම්මේලන ලියාපදිංචිය අත්හිටුවමින් අතිවිශේෂ ගැසට් නිවේදනයක්
44,1.42E+18,7/14/2021 6:23,Sport,ක්රීඩා සංගම් සම්මේලන ලියාපදිංචිය තාවකාලික අත්හිටුවයි අද
46,1.41E+18,7/13/2021 15:18,Politics,ආණ්ඩුවේ කිසිම බෙදී නැහැ ක්රීඩා ඇමති නාමල් රාජපක්ෂ
48,1.41E+18,7/11/2021 11:40,Entertainment,ඒක අපෙ විනෝදාස්වාද වෙන්නත් පුළුවන් එතකොට අපි හඩ නගන්න එකෙක්
50,1.42E+18,7/14/2021 6:44,Entertainment,සම්මානනීය චිත්රපට අධ්යක්ෂිකා කලා කීර්ති සුමිත්රා පීරිස් මහත්මිය තරුණ අවධියේ ඇය ගැහැණු ළමයි චිත්රපට අධ්යක්ෂණය කරමින් සිනමා අධ්යක්ෂණයට පිවිසි වසරේ ලන්ඩන් සිනමා උළලේ හොඳම චිත්රපට එය විය ඇය ගම්පෙරළිය චිත්රපටයේ සංස්කාරකවරිය ලෙසද කටයුතු කලාය
52,1.41E+18,7/10/2021 15:38,Entertainment,චිත්රපට ඇත්තට බ්ලැක් විඩෝ එහෙම නැත්නම් අපි කවුරු හදුනන නටාෂා රොමනෝෆ් අතීත නැවත ඇය ගැටීම සැගවී තිබූ රහස් කීපයක් හෙලිදරව් වේ ඇගේ ජිවිතයට තර්ජනයක් එල්ල කරන රහස් මොනවා
54,1.41E+18,7/8/2021 18:12,Entertainment,ඔබ පිදෙන අපගේ දෙවන කෙටි චිත්රපට සංඛාරා නුදුරේදී නරබන්න ඔබත් සූදානම් වන්න
56,1.42E+18,7/14/2021 11:38,Other,දේශපාලන වගකීම පුරවැසි වගකීම
