,ID,FULL TEXT,CREATED AT
0,1414162517924843525,"අන්තර්ජාලය ඔස්සේ අළෙවි වූ බාලවයස්කාර දැරිය අපයෝජනය කිරීමේ සිද්ධිය සම්බන්ධයෙන් පොලිස් ක්‍රීඩා කොට්ඨාසයේ උප පොලිස් පරීක්ෂකවරයකු සහ රජයේ ප‍්‍රධාන පෙළේ බැංකුවක හිටපු කළමණාකාරවරයකු ළමා හා කාන්තා කාර්යාංශය විසින් අද (11) අත්අඩංගුවට ගනු ලැබ තිබේ.
#arrestrapists #lka",2021-07-11 09:59:52
1,1414150972830535687,ක්‍රීඩා අමාත්‍යාංශයෙන් බොක්සිං වෙත මිලියන 50ක්! https://t.co/27rZZNdJoV via @ThePapareSports,2021-07-11 09:14:00
2,1414150959186522115,මේසපන්දුව දියුණු කරන්නට ක්‍රීඩා අමාත්‍යංශය ගිවිසුම්ගත වෙයි https://t.co/8shOPe5gul via @ThePapareSports,2021-07-11 09:13:56
3,1414112167616339970,"1992/93 පී. සරවනමුත්තු කුසලාන අන්තර්-සමාජ පළමු ඛාණ්ඩයේ ශූරයන් වූ සිංහල ක්‍රීඩා සමාජ පිල.

මෙහි ශ්‍රී ලංකව විවිධ අවධි වල නියෝජනය කල ක්‍රීඩකයන් රැසක් සිටින අතර, එවක ශ්‍රී ලංකා නායක අර්ජුන රණතුංග සාමාන්‍ය ක්‍රීඩකයෙක් වශයෙන් එම වසරේදී ක්‍රීඩා සමාජයට ක්‍රීඩා කර ඇත. https://t.co/hzZv1mVKSR",2021-07-11 06:39:48
4,1414105155205693442,“ක්‍රීඩා ඇමැතිතුමා තවමත් හරි අය හරි තැන්වලට දාගෙන නෑ” සුනිල් ගුණවර්ධන https://t.co/jbNn6kMzEW #slathletics #namalrajapaksa @RajapaksaNamal https://t.co/iidrXsiHNe,2021-07-11 06:11:56
5,1414072508978958337,"@actorvijay වේලු, #Kabaddi ක්‍රීඩකයෙකුගේ චරිතය නිරූපණය කරන අහිංසක ගමේ ගැහැනු ළමයෙකු බේරා ගැනීමේ ඔහුගේ උත්සාහය සහ @prakashraaj, @trishtrashers නළු නිළියන්ගේ ප්‍රබල රංගනයන් සමග #Dharani විසින් අධ්‍යක්ෂණය කරන ලද ක්‍රීඩා ක්‍රියාදාම බ්ලොක්බස්ටර් චිත්‍රපටය #Ghilli නරඹන්න.",2021-07-11 04:02:12
6,1413963794414460943,"කෙසේ වෙතත් දැන් ඔවුන් වාර්ථාගත තරග 33, කාණ්ඩ 339ක් යටතේ ක්‍රීඩා ස්ථාන 42කදී පැවැත් වීමට සියලුම කටයුතු සූදානම් කර ඇත #TokyoOlympics #Olympics2021 #SriLanka

Read more: https://t.co/2tyUhsQvEU https://t.co/dCM6ET5tBu",2021-07-10 20:50:13
7,1413896904593731590,@CharukaLive @GotabayaR ඒක කරන්නේ නාමල්. ඊලග කැම්පේන් එකට නාමල්ව තමයි ප්‍රොමෝට් කරන්නේ. නැත්නම් ක්‍රීඩා ඇමති vaccine ගහනවා බලන්න යයිද?,2021-07-10 16:24:25
8,1413893679648022532,"@adaderanasin ක්‍රීඩා ඇමති @RajapaksaNama  පාර්ලිමේන්තුවේදී කිව්ව 2016-17දී  ක්‍රීඩකයන් 45ක් යොදා ගත්ත, 
සිම්බාබ්වේ වලට 3 - 2 පැරදූනේ. Pitch එක මහ රෑ shave කරලා ඒක කිව්වා කියලා මාලී අවූරදූ එකා මාරක් එලියෙන් තිබ්බ.

 තේරුම් කමිටුවේ සභාපති කවූද දන්නේ නෑ?",2021-07-10 16:11:36
9,1413801176773152776,"ඉන්දියාව සමග ක්‍රිකට් තරගයට ක්‍රීඩා කිරීමට සිටි ශ්‍රී ලංකා ජෛව තාක්ෂණික බුබුලේ සිටි සඳුන් වීරක්කොඩි හට කොරෝනා ආසාදනය වී තිබෙනවා.

ඔහු සඳහන් කලේ මේ වනවිට ඔහු කණ්ඩායමෙන් වෙන්ව තැබීමට බලධාරීන් ක්‍රියාකර ඇති බවයි.

https://t.co/41m6m7x6VQ https://t.co/feoBvBNFqQ",2021-07-10 10:04:02
