,ID,FULL TEXT,CREATED AT,LABEL
,,,,
0,1.41E+18,"අන්තර්ජාලය ඔස්සේ අළෙවි වූ බාලවයස්කාර දැරිය අපයෝජනය කිරීමේ සිද්ධිය සම්බන්ධයෙන් පොලිස් ක්‍රීඩා කොට්ඨාසයේ උප පොලිස් පරීක්ෂකවරයකු සහ රජයේ ප‍්‍රධාන පෙළේ බැංකුවක හිටපු කළමණාකාරවරයකු ළමා හා කාන්තා කාර්යාංශය විසින් අද (11) අත්අඩංගුවට ගනු ලැබ තිබේ.
#arrestrapists #lka",7/11/2021 9:59,Crime
,,,,
1,1.41E+18,ක්‍රීඩා අමාත්‍යාංශයෙන් බොක්සිං වෙත මිලියන 50ක්! https://t.co/27rZZNdJoV via @ThePapareSports,7/11/2021 9:14,Sport
,,,,
2,1.41E+18,මේසපන්දුව දියුණු කරන්නට ක්‍රීඩා අමාත්‍යංශය ගිවිසුම්ගත වෙයි https://t.co/8shOPe5gul via @ThePapareSports,7/11/2021 9:13,Sport
,,,,
3,1.41E+18,"1992/93 පී. සරවනමුත්තු කුසලාන අන්තර්-සමාජ පළමු ඛාණ්ඩයේ ශූරයන් වූ සිංහල ක්‍රීඩා සමාජ පිල.

මෙහි ශ්‍රී ලංකව විවිධ අවධි වල නියෝජනය කල ක්‍රීඩකයන් රැසක් සිටින අතර, එවක ශ්‍රී ලංකා නායක අර්ජුන රණතුංග සාමාන්‍ය ක්‍රීඩකයෙක් වශයෙන් එම වසරේදී ක්‍රීඩා සමාජයට ක්‍රීඩා කර ඇත. https://t.co/hzZv1mVKSR",7/11/2021 6:39,Sport
,,,,
4,1.41E+18,“ක්‍රීඩා ඇමැතිතුමා තවමත් හරි අය හරි තැන්වලට දාගෙන නෑ” සුනිල් ගුණවර්ධන https://t.co/jbNn6kMzEW #slathletics #namalrajapaksa @RajapaksaNamal https://t.co/iidrXsiHNe,7/11/2021 6:11,Politics
,,,,
5,1.41E+18,"@actorvijay වේලු, #Kabaddi ක්‍රීඩකයෙකුගේ චරිතය නිරූපණය කරන අහිංසක ගමේ ගැහැනු ළමයෙකු බේරා ගැනීමේ ඔහුගේ උත්සා?",7/11/2021 4:02,Entertainment
,,,,
6,1.41E+18,"කෙසේ වෙතත් දැන් ඔවුන් වාර්ථාගත තරග 33, කාණ්ඩ 339ක් යටතේ ක්‍රීඩා ස්ථාන 42කදී පැවැත් වීමට සියලුම කටයුතු සූදානම් කර ඇත #TokyoOlympics #Olympics2021 #SriLanka

Read more: https://t.co/2tyUhsQvEU https://t.co/dCM6ET5tBu",7/10/2021 20:50,Sport
,,,,
7,1.41E+18,@CharukaLive @GotabayaR ඒක කරන්නේ නාමල්. ඊලග කැම්පේන් එකට නාමල්ව තමයි ප්‍රොමෝට් කරන්නේ. නැත්නම් ක්‍රීඩා ඇමති vaccin,7/10/2021 16:24,Other
,,,,
8,1.41E+18,"@adaderanasin ක්‍රීඩා ඇමති @RajapaksaNama  පාර්ලිමේන්තුවේදී කිව්ව 2016-17දී  ක්‍රීඩකයන් 45ක් යොදා ගත්ත, 
සිම්බාබ්වේ වලට ",7/10/2021 16:11,Sport
,,,,
